Timestamp,Internal,Hash,To,From,Cost (Ξ),Gas Fees (Ξ),Needs Review,Description
Sep 16 2021 22:53:57 UTC,false,0x26d6333ad0fac1bb0994752eb82c41a48febadc8731ba530d78ccbc2f20a89f8,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0x3cd751e6b0078be393132286c442345e5dc49699,3.0,0.001426709277987,true,transaction is external transfer
Sep 17 2021 5:58:18 UTC,false,0x53249efe656aaa73a1a61e89599ce7d9d786be90ec656391aaa7d8331c19ef8e,0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,1.95,0.00921052,true,
Sep 17 2021 6:4:30 UTC,false,0x3b665056808a060ba6cd2bf2202bf219c71db9e1513819f4ee1dda69c0410334,0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0.09,0.00373856,true,
Sep 17 2021 6:8:23 UTC,false,0x2770a9e2d490c80c1f3980eba8506496ef677a14470cb2d0f2e774ce021092f8,0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0.06,0.00327124,true,
Sep 17 2021 6:8:52 UTC,false,0x2df941a516310e321f7e066265eed9d8306135e4a241eebcd2175c4ec6889c7d,0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0.09,0.002086893538851708,false,failed transaction
Sep 17 2021 6:10:46 UTC,false,0x9b22ad4ee4b16b0cecb3d215ab08694185572dc1dc57ff1bf3066733879666b1,0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0.15,0.00327124,true,
Sep 18 2021 20:20:9 UTC,true,0xbdadd30ef19e6ef53eb0ba46745f42c3e650855ab007976ceeac6731eef4670b,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f,2.25,,true,
Sep 27 2021 19:1:54 UTC,false,0x3b542f9aa5240b74b43e30054363d01bf7f3d02e5a1bbe5a5435165d476fcae1,0xfb7d186e24e128be1f1339fb9c2ba6fdbd87c6f9,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0.0,0.01244803,true,
Sep 29 2021 0:49:58 UTC,false,0x999859c7fee426fb0eafc2424c3dd26fa2d18faa8ce1be76c482f018f1732684,0xd26e223018bfd1d5230416dafceaef1db0b092da,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0.0,0.004752597513701544,true,
Sep 29 2021 6:11:10 UTC,false,0x9e2f598aa5cff1abb197d97ac2ac9ce9219b3227d360c5e614232b9213b29003,0x9cc26d6c68af6c7b7316dea943f059441a54d68a,0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d,0.0,0.00469272,true,
